NAME,ADDRESS,STATE,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMPLOY,NAICS_DESC,EMPLOYEE/STUDENT RATIO,INCOME,POPULATION
Pro Way Hair School,5684 Memorial Dr,GA,30083,private for profit,DeKalb,33.801802,-84.205183,0,175,175,21,Cosmetology and Barber Schools,8.333333333333334,"50,190","10,617,423"
DeVry University-Georgia,"1 West Court Square, Ste. 100",GA,30030,private for profit,DeKalb,33.782356,-84.278446,2462,1638,4100,458,"Colleges, Universities, and Professional Schools",8.951965065502183,"50,190","10,617,423"
South University-Savannah,709 Mall Blvd,GA,31406,private for profit,Chatham,31.999571,-81.105435,337,1167,1504,188,"Colleges, Universities, and Professional Schools",8.0,"50,190","10,617,423"
Emmanuel College,181 Springs St,GA,30639,private non-profit,Franklin,34.282617,-83.146825,95,711,806,133,"Colleges, Universities, and Professional Schools",6.06015037593985,"50,190","10,617,423"
Emory University,"408 Administration Building, 201 Dowman Drive",GA,30322,private non-profit,DeKalb,33.798836,-84.325782,1175,13061,14236,11520,"Colleges, Universities, and Professional Schools",1.2357638888888889,"50,190","10,617,423"
Georgia Highlands College,"3175 Cedartown Highway, S.E.",GA,30161,public,Floyd,34.169791,-85.207356,2546,2976,5522,499,Junior Colleges,11.066132264529058,"50,190","10,617,423"
Georgia Institute of Technology,225 North Ave,GA,30332,public,Fulton,33.773732,-84.396019,2709,18848,21557,7179,"Colleges, Universities, and Professional Schools",3.0027859033291544,"50,190","10,617,423"
Georgia Southwestern State University,800 Georgia Southwestern State University Dr.,GA,31709,public,Sumter,32.058198,-84.217755,824,2149,2973,390,"Colleges, Universities, and Professional Schools",7.623076923076923,"50,190","10,617,423"
Gainesville State College,3820 Mundy Mill Rd,GA,30566,public,Hall,34.234389,-83.867337,3191,5137,8328,659,Junior Colleges,12.63732928679818,"50,190","10,617,423"
Georgia Southern University,"Brannen Hall, 2670 Southern Drive",GA,30460,public,Bulloch,32.419854,-81.779936,3889,16739,20628,3108,"Colleges, Universities, and Professional Schools",6.637065637065637,"50,190","10,617,423"
Georgia State University,33 gilmer st,GA,30303,public,Fulton,33.7527,-84.38667,8365,23026,31391,4302,"Colleges, Universities, and Professional Schools",7.296838679683868,"50,190","10,617,423"
University of Georgia,Administration Building,GA,30602,public,Clarke,33.937727,-83.37143,3402,31117,34519,9968,"Colleges, Universities, and Professional Schools",3.462981540930979,"50,190","10,617,423"
Gwinnett College-Lilburn,4230 Hwy 29 Ste 11,GA,30047,private for profit,Gwinnett,33.901271,-84.121874,153,197,350,52,Junior Colleges,6.730769230769231,"50,190","10,617,423"
Gwinnett Technical College,5150 Sugarloaf Parkway,GA,30043,public,Gwinnett,33.962763,-84.066224,4432,2234,6666,769,Junior Colleges,8.668400520156046,"50,190","10,617,423"
